loan_id,customer_id,age,gender,education,marital_status,employment_type,employment_length_months,annual_income,monthly_income,existing_emi,debt_to_income,credit_score,credit_history_length_months,delinquency_count,past_default_flag,loan_amount,loan_term_months,interest_rate,emi_amount,loan_purpose,loan_product,disbursal_date,repayment_status,first_emi_default_flag,loan_source_type,state,district,city,pincode,urban_rural_flag,branch_code,branch_region,service_area_cluster,distance_to_branch_km,area_default_rate,district_risk_score,state_risk_score,population_density_band,economic_activity_type,channel,has_mortgage,has_dependents,has_cosigner,loan_default
LN100000,C200000,43,Male,Graduate,Married,SelfEmployed,37,74700,6225,785,2.0,461,54,0,1,800000,36,17.4,28682,Personal,Unsecured,2024-01-01,Active,1,New,Tamil Nadu,Unknown,Unknown,921150,Urban,AUTO,SouthZone,2,3.3,17.6,0.521,0.411,High,Salaried,Branch,No,No,Yes,1
LN100001,C200001,36,Male,Graduate,Married,Unemployed,5,45800,3817,249,0.864,511,0,0,1,114000,60,20.42,3047,Home,Secured,2024-01-01,Active,0,TopUp,Maharashtra,Unknown,Unknown,402991,Rural,AUTO,WestZone,3,4.4,18.2,0.484,0.587,Medium,Agri,Branch,No,No,No,1
LN100002,C200002,45,Female,PostGraduate,Married,Business,52,97800,8150,89,0.502,562,80,0,1,210000,84,14.59,4004,Personal,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,680369,Urban,AUTO,WestZone,1,2.8,16.6,0.375,0.477,Medium,MSME,Field,No,No,No,1
LN100003,C200003,56,Male,PostGraduate,Single,Unemployed,1,44500,3708,312,2.0,612,0,0,0,168000,24,20.32,8577,Vehicle,Secured,2024-01-01,Active,1,New,Maharashtra,Unknown,Unknown,225765,Urban,AUTO,WestZone,4,19.5,17.9,0.562,0.35,Medium,Agri,Partner,No,Yes,No,1
LN100004,C200004,35,Female,PostGraduate,Single,SelfEmployed,12,256500,21375,1275,0.915,583,25,0,0,645000,48,16.01,18283,Education,Unsecured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,310990,Rural,AUTO,SouthZone,1,7.3,19.5,0.633,0.497,Medium,Mixed,Digital,No,No,No,1
LN100005,C200005,35,Male,PostGraduate,Single,Salaried,7,98700,8225,684,2.0,530,16,0,0,482000,36,20.54,18046,Vehicle,Secured,2024-01-01,Active,0,New,Gujarat,Unknown,Unknown,672287,Urban,AUTO,WestZone,1,0.8,8.3,0.31,0.323,Medium,Salaried,Branch,No,No,No,0
LN100006,C200006,56,Male,PostGraduate,Divorced,Business,1,173600,14467,1250,2.0,527,0,2,0,2338000,48,17.43,67984,Vehicle,Secured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,856838,Urban,AUTO,SouthZone,0,5.0,16.5,0.269,0.388,Medium,Salaried,Branch,Yes,Yes,No,0
LN100007,C200007,47,Male,Graduate,Married,Salaried,111,85100,7092,47,0.452,729,179,0,0,150000,72,14.86,3160,Education,Unsecured,2024-01-01,Active,0,New,Bihar,Unknown,Unknown,118872,SemiUrban,AUTO,EastZone,0,2.3,20.2,0.647,0.731,Medium,Salaried,Branch,No,Yes,No,0
LN100008,C200008,32,Male,PostGraduate,Married,Salaried,46,46000,3833,143,1.587,574,74,0,1,270000,72,16.56,5940,Personal,Unsecured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,233971,Urban,AUTO,SouthZone,3,12.6,12.3,0.365,0.33,Medium,Salaried,Branch,No,No,No,0
LN100009,C200009,44,Female,PostGraduate,Single,SelfEmployed,10,92500,7708,296,2.0,577,0,1,0,406000,12,17.77,37178,Personal,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,995051,Urban,AUTO,WestZone,4,6.5,15.1,0.493,0.394,High,Salaried,Digital,No,No,No,0
LN100010,C200010,32,Male,Graduate,Single,Salaried,10,106000,8833,290,1.628,611,36,0,0,385000,36,18.87,14087,Personal,Unsecured,2024-01-01,Active,0,Repeat,Uttar Pradesh,Unknown,Unknown,402834,Rural,AUTO,NorthZone,1,7.6,23.8,0.609,0.697,Low,Mixed,Field,Yes,Yes,No,0
LN100011,C200011,32,Male,Graduate,Divorced,Salaried,8,21600,1800,266,2.0,584,14,0,1,98000,36,13.7,3335,Agri,Secured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,280501,Rural,AUTO,EastZone,1,6.7,18.5,0.375,0.498,Medium,Mixed,Branch,No,No,No,1
LN100012,C200012,40,Male,PostGraduate,Married,Salaried,1,174900,14575,3241,2.0,663,27,0,0,965000,36,15.13,33514,Personal,Unsecured,2024-01-01,Active,0,New,Gujarat,Unknown,Unknown,124721,SemiUrban,AUTO,WestZone,2,12.0,14.7,0.585,0.453,Medium,Salaried,Partner,No,Yes,No,0
LN100013,C200013,21,Male,PostGraduate,Single,Farmer,2,52200,4350,273,1.359,744,37,0,0,226000,48,9.15,5640,Home,Secured,2024-01-01,Active,0,TopUp,Gujarat,Unknown,Unknown,159738,SemiUrban,AUTO,WestZone,4,1.1,13.9,0.382,0.335,Medium,Mixed,Field,No,No,No,1
LN100014,C200014,21,Female,Graduate,Single,Salaried,3,167700,13975,47,2.0,683,0,0,0,1342000,18,16.17,84461,Business,Unsecured,2024-01-01,Active,0,Repeat,Karnataka,Unknown,Unknown,140635,SemiUrban,AUTO,SouthZone,2,21.3,11.5,0.225,0.343,Low,MSME,Digital,No,Yes,Yes,0
LN100015,C200015,31,Male,PostGraduate,Married,Salaried,39,124400,10367,1088,1.176,702,98,0,0,405000,48,14.17,11102,Personal,Unsecured,2024-01-01,Active,0,TopUp,West Bengal,Unknown,Unknown,165767,Urban,AUTO,EastZone,1,10.6,18.2,0.447,0.488,High,Salaried,Field,No,Yes,No,0
LN100016,C200016,25,Female,PostGraduate,Single,Farmer,19,46900,3908,28,2.0,525,41,0,1,340000,60,17.68,8575,Home,Secured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,844427,Urban,AUTO,NorthZone,1,46.2,24.5,0.78,0.635,High,Salaried,Branch,No,No,No,1
LN100017,C200017,41,Female,HighSchool,Married,Salaried,30,49000,4083,253,1.159,662,52,0,0,174000,48,10.8,4480,Home,Secured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,462205,Urban,AUTO,SouthZone,2,37.5,15.1,0.382,0.44,High,Salaried,Field,No,No,No,0
LN100018,C200018,27,Male,PostGraduate,Married,Unemployed,12,81900,6825,293,1.307,634,1,0,0,341000,60,17.81,8624,Personal,Unsecured,2024-01-01,Active,0,New,Tamil Nadu,Unknown,Unknown,366676,Urban,AUTO,SouthZone,3,4.7,19.0,0.483,0.412,High,Salaried,Branch,Yes,No,No,0
LN100019,C200019,21,Male,HighSchool,Single,Salaried,10,40600,3383,36,2.0,613,23,1,1,607000,72,16.35,13284,Vehicle,Secured,2024-01-01,Active,0,Repeat,Telangana,Unknown,Unknown,583290,Urban,AUTO,SouthZone,0,2.4,16.9,0.468,0.502,Medium,Agri,Branch,No,No,Yes,1
LN100020,C200020,55,Female,HighSchool,Single,Business,13,33600,2800,378,1.056,601,0,0,0,144000,120,17.84,2580,Personal,Unsecured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,738676,Rural,AUTO,NorthZone,2,6.6,20.6,0.739,0.613,Low,Agri,Digital,Yes,Yes,No,1
LN100021,C200021,35,Female,Graduate,Married,Salaried,4,123200,10267,291,0.993,697,0,1,0,468000,72,15.05,9909,Personal,Unsecured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,382599,SemiUrban,AUTO,SouthZone,3,4.5,12.7,0.44,0.408,Medium,Salaried,Digital,Yes,No,No,0
LN100022,C200022,38,Male,PostGraduate,Single,Salaried,31,62800,5233,322,1.165,756,1,0,0,323000,72,8.71,5776,Home,Secured,2024-01-01,Active,0,New,Bihar,Unknown,Unknown,220750,SemiUrban,AUTO,EastZone,1,10.5,25.1,0.709,0.742,Medium,Agri,Digital,Yes,Yes,No,0
LN100023,C200023,21,Male,HighSchool,Married,Farmer,58,35900,2992,235,2.0,697,83,0,0,387000,36,15.18,13450,Business,Unsecured,2024-01-01,Active,0,New,Gujarat,Unknown,Unknown,340550,SemiUrban,AUTO,WestZone,1,7.7,13.7,0.513,0.446,Low,Salaried,Branch,Yes,Yes,No,1
LN100024,C200024,31,Male,PostGraduate,Married,Unemployed,19,12000,1000,26,2.0,419,61,0,0,205000,36,24.93,8143,Education,Unsecured,2024-01-01,Active,1,New,Uttar Pradesh,Unknown,Unknown,950248,SemiUrban,AUTO,NorthZone,2,40.8,20.4,0.588,0.656,Low,Salaried,Digital,No,No,No,1
LN100025,C200025,39,Male,Graduate,Married,Business,25,89100,7425,249,2.0,631,43,0,0,575000,36,17.61,20675,Personal,Unsecured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,430318,Urban,AUTO,SouthZone,3,1.9,17.9,0.531,0.387,Medium,Agri,Branch,Yes,Yes,No,1
